Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
BMI3C|Principes de marketing|11e année|Filière précollégiale|16353
BMK4T|Pitching the Campaign|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BMM4T|Foundations of Marketing|12e année|Cours collégial, enseigné par le collège (DRC)|13
BMX3E|Marketing de la vente au détail et des services|11e année|Filière préemploi|1975
BOA4T|Human Relations|12e année|Cours collégial, enseigné par le collège (DRC)|28
BOB4T|Organizational Behaviour|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOC4T|Office Procedures|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOE4T|Gestion de projets|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOF4T|Human Resource Management|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOG4E|Gestion d'une entreprise|12e année|Filière préemploi|739
BOH4M|Principes de gestion|12e année|Filière préuniversitaire/précollégiale|17636
BON4T|Conflict Management|12e année|Cours collégial, enseigné par le collège (DRC)|48
BOO4T|Principles of Human Resource Management|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BTA3O|Technologies de l'information et de la communication : environnement informatisé|11e année|Ouvert|5717
BTB4T|Business Computer Application|12e année|Cours collégial, enseigné par le collège (DRC)|10
BTG4T|Computer Applications for Business and Technology|12e année|Cours collégial, enseigné par le collège (DRC)|17
BTT1O|Introduction aux technologies de l'information et de la communication|9e année|Ouvert|38770
BTT2O|Introduction aux technologies de l'information et de la communication|10e année|Ouvert|3416
BTX4C|Technologies de l'information et de la communication : solutions multimédias|12e année|Filière précollégiale|321
BTX4E|Technologies de l'information et de la communication en milieu de travail|12e année|Filière préemploi|343
CCL3O|Cours de compétences linguistiques des écoles secondaires de l'Ontario|11e année|Ouvert|10
CCL4O|Cours de compétences linguistiques des écoles secondaires de l'Ontario|12e année|Ouvert|905
CGC1D|Enjeux géographiques du Canada|9e année|Cours théorique|102267
CGC1P|Enjeux géographiques du Canada|9e année|Cours appliqué|42561
CGD3M|Géographie régionale|11e année|Filière préuniversitaire/précollégiale|210
CGF3M|Nature en action : un monde physique|11e année|Filière préuniversitaire/précollégiale|3935
CGG3O|Voyages et tourisme : une perspective géographique|11e année|Ouvert|12251
CGO4M|Les technologies spatiales en action|12e année|Filière préuniversitaire/précollégiale|338
CGR4E|Gestion durable des ressources et de l'environnement|12e année|Filière préemploi|382
CGR4M|Environnement et gestion des ressources|12e année|Filière préuniversitaire/précollégiale|4246
CGT3E|Géographie et technologie : les outils du géographe|11e année|Filière préemploi|45
CGT3O|Introduction aux technologies spatiales|11e année|Ouvert|48
CGU4C|Géographie mondiale : le milieu urbain|12e année|Filière précollégiale|26
